"","DEUTSCHE_BANK","ALLIANZ","BASF","SIEMENS","BMW","BAYER","E_ON","RWE","HENKEL","SAP"
"1996-07-23",634.54,2343.88,786.42,661.11,1729.32,1228.37,1560.87,1179.47,92.6,1969.43
"1996-08-23",637.98,2427.91,853.99,676.33,1762.11,1305.37,1603.2,1214.98,94.07,2179.99
"1996-09-23",619.04,2417.18,924.11,678.99,1782.59,1355.24,1627.97,1253.82,95.53,2318.84
"1996-10-23",616.2,2488.15,950.95,687.07,1843.04,1412.93,1721.92,1436.89,98.17,1908.62
"1996-11-23",614.13,2506.14,1032.23,614.94,1915.78,1439.82,1782.41,1476.84,110.62,1815.14
"1996-12-23",614.31,2497.15,1149.75,614,2161.65,1486.27,1824.53,1458.56,107.69,1951.28
"1997-01-23",720.89,2588.87,1172.28,682.6,2202.63,1515.11,1888.12,1560.79,117.22,2114.64
"1997-02-23",741.3,2888.31,1221.25,733.9,2323.52,1681.83,1948,1650.53,117.22,2279.82
"1997-03-23",764.55,2935.97,1208.12,743.96,2430.07,1651.27,2015.1,1676.66,120.59,2386.91
"1997-04-23",775.31,2900.9,1331.72,777.64,2827.57,1725.83,1943.87,1571.02,126.74,2686.41
"1997-05-23",862.64,3232.71,1293.45,858.55,2952.51,1650.24,2055.36,1692.56,134.42,2892.9
"1997-06-23",856.33,3399.07,1259.3,902.73,2902.82,1715.4,2087.98,1722.1,138.51,3174.42
"1997-07-23",1104.6,4451.29,1430.47,1050.99,3103.65,1948.46,2132.18,1776.62,143.34,3942.2
"1997-08-23",991.51,3724.46,1294.86,1032.19,2743.39,1751.73,2143.76,1847.05,133.83,3790.47
"1997-09-23",1018.25,3801.21,1269.75,1061.93,2877.97,1779.3,2119.55,1929.97,140.22,4040
"1997-10-23",1033.59,3701.89,1219.52,1002.45,2795.15,1630.19,2024.84,1899.3,137.25,4369.05
"1997-11-23",1003.35,3769.61,1246.64,934.22,2743.39,1647.23,2203.75,1967.46,146.16,4778.53
"1997-12-23",1077.86,4099.16,1227.56,893.54,2565.33,1583.83,2524.73,2126.1,146.31,4826.06
"1998-01-23",956.44,4640.9,1200.43,919.35,2737.18,1641.47,2591.03,2371.07,149.28,5397.33
"1998-02-23",1102.41,5295.5,1262.72,992.37,3397.66,1908.36,2564.72,2338.71,163.39,6055.43
"1998-03-23",1171.23,5060.12,1454.58,1071.7,4277.62,2048.7,2616.29,2316.76,176.01,6818.64
"1998-04-23",1313.25,5717.34,1551.02,986.61,4064.36,1964.75,2508.95,2071.8,186.41,7796.65
"1998-05-23",1437.74,5464.56,1669.89,1081.46,4536.16,2073.56,2623.98,2287.87,209.74,8266.35
"1998-06-23",1303,5312.89,1725.49,965.33,4535.35,2255.77,2671.11,2472.75,229.7,9242.91
