date;BAB;Value;SCMOM;ESG
02.2007;0.01158537;0.00502167;-0.01323700;-0.011084133
03.2007;0.00084591;-0.00590517;0.00917700;-0.00693435
04.2007;0.00872479;-0.00689958;0.02332700;0.00798695
05.2007;-0.01026055;0.00049067;0.03062400;-0.000297267
06.2007;0.00797986;-0.01185263;-0.01879500;0.007081158
07.2007;-0.00720088;-0.04455489;-0.06020000;0.007311433
08.2007;-0.02917443;-0.01750807;0.01805700;0.009229958
09.2007;0.01408471;-0.02818518;0.03033200;-0.01503905
10.2007;0.00213783;-0.05160739;0.04096200;-0.012461675
11.2007;-0.04049489;-0.01745990;-0.08314400;0.012921083
12.2007;-0.02484748;-0.02240164;0.00862600;-0.010026575
01.2008;-0.02086114;0.07964973;-0.10408000;-0.040704508
02.2008;0.02263313;-0.04300929;-0.02190800;-0.044710417
03.2008;-0.06726799;-0.00972194;-0.00374500;0.011494667
04.2008;-0.02119396;-0.00848971;0.03737300;-0.036283325
05.2008;0.00901789;-0.05255138;0.05051400;-0.032143058
06.2008;0.00467989;-0.09075323;-0.05624000;-0.017035008
07.2008;-0.06766527;0.04544777;0.04186400;0.044913075
08.2008;-0.01296474;0.03719486;0.01841300;0.018899767
09.2008;-0.09107469;0.01806191;-0.06999500;0.054366575
10.2008;-0.05056246;-0.06013071;-0.19127300;0.032332325
11.2008;-0.03525360;-0.07635188;-0.11515700;0.046712975
12.2008;-0.07611555;0.05366509;0.04402800;0.006701133
01.2009;0.11899921;-0.05367665;-0.12660000;-0.043113842
02.2009;-0.00327614;-0.09144596;-0.12322100;0.012471183
03.2009;-0.02654133;0.07649350;0.07799200;-0.016448783
04.2009;-0.07869868;0.26864424;0.08675600;-0.061896417
05.2009;0.06527905;0.06103592;0.01282300;-0.011636067
06.2009;0.09099495;-0.02086732;0.03583100;-0.006365358
07.2009;-0.03620314;0.06009184;0.08768500;-0.02326185
08.2009;-0.02275061;0.07927193;0.00126600;-0.027359433
09.2009;-0.00383962;0.01833417;0.04197492;0.015599758
10.2009;0.00814864;-0.01653547;-0.08358197;0.055239225
11.2009;-0.01203155;-0.00655066;0.02579214;-0.003914275
12.2009;0.00940060;0.00072749;0.08627590;-0.000309575
01.2010;0.01005168;0.03277127;-0.04104393;-0.013690992
02.2010;0.00739145;0.00824318;0.05214778;-0.012559317
