date;beta1;beta2;beta3;beta4;beta5;beta6;beta7;beta8;beta9;beta10
196307;0.0135;0.0077;0.0008;-0.0024;-0.0069;-0.012;-0.0049;-0.0139;-0.0194;-0.0077
196308;0.0352;0.0389;0.0429;0.0525;0.0523;0.0755;0.0757;0.0491;0.0904;0.1047
196309;-0.0309;-0.0224;-0.0054;-0.0097;-0.0137;-0.0027;-0.0063;-0.01;-0.0192;-0.0368
196310;0.0125;-0.0012;0.02;0.0512;0.0232;0.0178;0.0663;0.0478;0.031;0.0301
196311;-0.0091;-0.0015;0.016;-0.0205;-0.0094;-0.0069;-0.0132;-0.0051;-0.002;0.0052
196312;0.0386;0.0063;0.0231;0.0183;0.03;0.0236;0.0125;0.0345;0.003;0.0128
196401;0.0374;0.0141;0.0274;0.0276;0.0176;0.0295;0.0288;0.0435;0.0207;0.0096
196402;0.0108;0.0172;0.0062;0.0214;0.0236;0.0166;0.0174;0.0378;0.0253;0.0389
196403;0.0105;0.0076;0.0005;0.012;0.0292;0.0169;0.0228;0.039;0.0589;0.0612
196404;0.0265;0.0181;0.0157;0.0138;-0.0089;0.0007;-0.0226;-0.0265;-0.0179;-0.0498
196405;0.0164;0.0171;0.0023;0.0281;0.0208;0.0084;0.0071;0.0309;0.0141;0.0133
196406;0.0152;0.022;0.0381;0.0034;0.0114;0.0139;0.0207;0.0001;0.0214;0.0166
196407;0.0407;0.0067;0.0486;0.0224;0.0343;0.0102;0.0107;-0.0054;0.0122;0.0048
196408;0.0134;-0.0159;0.0013;-0.0123;-0.0192;-0.0062;-0.0156;-0.0259;-0.0179;-0.0265
196409;0.0288;0.0117;0.0348;0.0319;0.0358;0.0372;0.0308;0.0291;0.0575;0.0568
196410;0.0117;0.0095;0.0094;0.0233;0.0146;0.0118;0.0064;-0.0254;-0.0042;0.0197
196411;0.013;0.0008;-0.0026;0.0089;0.0196;0.0093;-0.0009;-0.0157;-0.0296;-0.0231
196412;-0.0011;0.0196;0.0058;-0.0028;0.0009;0.0004;-0.01;0.0019;-0.01;-0.0045
196501;0.0289;0.0084;0.0402;0.0327;0.0555;0.0371;0.0484;0.0776;0.0619;0.079
196502;0.0117;-0.0079;-0.0001;-0.0149;-0.0043;0.0219;0.03;0.0312;0.0386;0.0518
196503;-0.0001;-0.0181;0.0009;-0.0103;-0.0262;-0.0153;-0.0115;-0.003;-0.002;-0.0056
196504;0.0129;0.0219;0.048;0.0267;0.0207;0.0606;0.0206;0.054;0.0531;0.0479
196505;-0.001;0.0114;-0.0246;-0.0074;0.0211;-0.015;-0.0049;-0.0057;-0.0149;-0.0124
196506;-0.0506;-0.0342;-0.0544;-0.0236;-0.0521;-0.0491;-0.0662;-0.058;-0.0859;-0.1053
196507;0.021;0.0178;0.0148;0.005;0.0065;0.0097;0.008;0.0364;0.0462;0.0667
196508;0.0116;0.0139;0.0162;0.03;0.0363;0.0458;0.0347;0.0497;0.0555;0.0943
196509;0.0492;0.0418;0.0313;0.0168;0.0278;0.0208;0.0248;0.0204;0.0565;0.0537
196510;0.0176;0.0314;0.0289;0.0135;0.0214;0.0313;0.0389;0.0417;0.0599;0.0799
196511;0.0135;-0.0232;-0.0079;-0.0276;0.0202;0.0074;0.0327;0.0136;0.0469;0.083
196512;0.0063;0.0054;0.0071;0.0129;0.0067;0.0117;0.0342;0.0048;0.0444;0.0507
196601;0.0098;-0.0006;0.0004;-0.0055;0.0161;0.0014;0.0197;0.019;0.0611;0.0644
196602;-0.0351;-0.0244;-0.0303;-0.0149;-0.0101;-0.007;-0.0045;0.0272;0.0307;0.0834
196603;-0.0134;-0.0323;-0.0304;-0.0174;-0.0256;-0.0375;-0.02;-0.0006;0.0004;-0.013
196604;0.027;0.0033;0.0031;0.0215;0.0144;0.0205;0.0515;0.0451;0.0535;0.0537
196605;-0.0484;-0.0473;-0.0384;-0.0347;-0.0497;-0.0501;-0.0522;-0.0512;-0.0991;-0.1237
196606;-0.0209;-0.02;-0.0295;-0.0058;-0.0151;-0.0195;0.0125;-0.0071;0.0032;0.0364
196607;-0.0036;-0.0068;-0.0048;-0.0138;-0.0032;-0.0005;-0.0214;-0.0326;-0.0232;-0.0194
196608;-0.0688;-0.0661;-0.0811;-0.0729;-0.0704;-0.0808;-0.0542;-0.0889;-0.0862;-0.0879
