date;CORP_BBB_10Y;CORP_AA_10Y;GVT_1M;GVT_2M;GVT_3M;GVT_1Y;GVT_2Y;GVT_5Y;GVT_10Y;GVT_15Y;GVT_20Y
15.08.2000;NA;NA;NA;NA;3.31;3.77;3.753;4.018;3.912;NA;NA
15.09.2000;NA;NA;NA;NA;3.28;3.58;3.617;3.92;3.789;NA;NA
15.10.2000;NA;NA;NA;NA;3.38;3.55;3.517;3.895;3.715;NA;NA
15.11.2000;NA;NA;NA;NA;3.38;3.52;3.559;3.874;3.748;NA;NA
15.12.2000;NA;NA;NA;NA;3.29;3.31;3.291;3.739;3.542;NA;NA
15.01.2001;NA;NA;NA;NA;3.33;3.31;3.177;3.601;3.475;NA;NA
15.02.2001;NA;NA;NA;NA;3.34;3.25;3.217;3.608;3.466;NA;NA
15.03.2001;NA;NA;NA;NA;3.25;3.18;3.101;3.495;3.357;NA;NA
15.04.2001;NA;NA;NA;NA;3.2;3.12;3.173;3.498;3.336;NA;NA
15.05.2001;NA;NA;NA;NA;3.05;3.01;3.102;3.633;3.477;NA;NA
15.06.2001;NA;NA;NA;NA;3.15;3.13;3.187;3.518;3.365;NA;NA
15.07.2001;NA;NA;NA;NA;3.16;3.06;3.171;3.487;3.353;NA;NA
15.08.2001;NA;NA;NA;NA;3.09;2.83;2.938;3.364;3.226;NA;NA
15.09.2001;NA;NA;NA;NA;2.8;2.55;2.659;3.372;3.19;NA;NA
15.10.2001;NA;NA;NA;NA;2.05;1.98;2.153;3.204;3.04;NA;NA
15.11.2001;NA;NA;NA;NA;2.11;2.07;2.217;3.251;3.027;NA;NA
15.12.2001;NA;NA;NA;NA;1.71;1.77;1.972;3.475;3.321;NA;NA
15.01.2002;NA;NA;NA;NA;1.64;1.87;2.531;3.415;3.335;NA;NA
15.02.2002;NA;NA;NA;NA;1.59;1.97;2.574;3.609;3.518;NA;NA
15.03.2002;NA;NA;NA;NA;1.57;2.1;2.66;3.769;3.678;NA;NA
15.04.2002;NA;NA;NA;NA;1.46;1.94;2.438;3.593;3.484;NA;NA
15.05.2002;NA;NA;NA;NA;1.19;1.74;2.15;3.525;3.411;NA;NA
15.06.2002;NA;NA;NA;NA;1.17;1.71;2.072;3.426;3.294;NA;NA
15.07.2002;NA;NA;NA;NA;1.05;1.35;1.669;3.21;3.086;NA;NA
15.08.2002;NA;NA;NA;NA;0.75;1.04;0.942;3.167;2.978;NA;NA
15.09.2002;NA;NA;NA;NA;0.63;0.76;1.072;2.942;2.729;NA;NA
15.10.2002;NA;NA;NA;NA;0.71;0.88;0.981;2.979;2.723;NA;NA
15.11.2002;NA;NA;NA;NA;0.65;0.73;0.756;2.699;2.515;NA;NA
15.12.2002;NA;NA;NA;NA;0.61;0.79;0.866;2.505;2.298;NA;NA
15.01.2003;NA;NA;NA;NA;0.55;0.67;0.746;2.446;2.362;NA;NA
15.02.2003;NA;NA;NA;NA;0.5;0.53;0.632;2.321;2.241;NA;NA
15.03.2003;NA;NA;NA;NA;0.24;0.41;0.595;1.293;2.24;NA;3.104
15.04.2003;NA;NA;NA;NA;0.26;0.47;0.703;1.705;2.542;NA;3.366
15.05.2003;NA;NA;NA;NA;0.22;0.35;0.473;1.338;2.247;NA;3.239
15.06.2003;NA;NA;NA;NA;0.21;0.28;0.341;1.271;2.155;NA;3.099
15.07.2003;NA;NA;NA;NA;0.21;0.33;0.394;1.384;2.382;NA;3.18
15.08.2003;NA;NA;NA;NA;0.14;0.41;0.531;1.688;2.618;NA;3.42
15.09.2003;NA;NA;NA;NA;0.16;0.41;0.434;1.744;2.67;NA;3.539
15.10.2003;NA;NA;NA;NA;0.17;0.41;0.437;1.687;2.702;NA;3.441
15.11.2003;NA;NA;NA;NA;0.17;0.5;0.653;1.828;2.761;NA;3.466
15.12.2003;NA;NA;NA;NA;0.2;0.48;0.53;1.669;2.596;NA;3.261
15.01.2004;NA;NA;NA;NA;0.16;0.45;0.888;1.818;2.671;NA;3.252
15.02.2004;NA;NA;NA;NA;0.18;0.34;0.743;1.634;2.516;NA;3.3
15.03.2004;NA;NA;NA;NA;0.22;0.34;0.676;1.474;2.388;NA;3.194
15.04.2004;NA;NA;NA;NA;0.21;0.58;1.05;1.837;2.638;NA;3.258
15.05.2004;NA;NA;NA;NA;0.2;0.71;1.259;2.039;2.785;NA;3.315
15.06.2004;NA;NA;NA;NA;0.38;0.92;1.397;2.183;2.87;NA;3.43
15.07.2004;NA;NA;NA;NA;0.46;0.95;1.261;2.125;2.829;NA;3.386
15.08.2004;NA;NA;NA;NA;0.45;0.8;0.974;1.832;2.607;NA;3.28
15.09.2004;NA;NA;NA;NA;0.61;0.95;1.193;1.946;2.626;NA;3.267
15.10.2004;NA;NA;NA;NA;0.65;0.87;1.01;1.742;2.496;NA;3.094
15.11.2004;NA;NA;NA;NA;0.68;0.97;1.298;1.629;2.372;NA;2.89
15.12.2004;NA;NA;NA;NA;0.73;0.98;1.062;1.539;2.22;NA;2.716
15.01.2005;NA;NA;NA;NA;0.61;0.84;1.175;1.731;2.269;NA;2.677
15.02.2005;NA;NA;NA;NA;0.67;0.89;1.122;1.641;2.138;NA;2.479
15.03.2005;NA;NA;NA;NA;0.7;0.9;1.186;1.794;2.367;NA;2.757
