date;UBS_CHINA_EQUITY_FUND
10.08.2018;17862
13.08.2018;17784
14.08.2018;17552
15.08.2018;17424
16.08.2018;17015
17.08.2018;16797
20.08.2018;16640
21.08.2018;16840
22.08.2018;17088
23.08.2018;17247
24.08.2018;17268
27.08.2018;17139
28.08.2018;17600
29.08.2018;17589
30.08.2018;17679
31.08.2018;17333
03.09.2018;17117
04.09.2018;17068
05.09.2018;17192
06.09.2018;16693
07.09.2018;16285
10.09.2018;16429
11.09.2018;16251
12.09.2018;16236
13.09.2018;16009
14.09.2018;16291
17.09.2018;16291
18.09.2018;16141
19.09.2018;16318
20.09.2018;16619
21.09.2018;16776
24.09.2018;16776
25.09.2018;17101
26.09.2018;17118
27.09.2018;17204
28.09.2018;17201
01.10.2018;17268
02.10.2018;17245
03.10.2018;17000
04.10.2018;17125
05.10.2018;16865
08.10.2018;16865
09.10.2018;16086
10.10.2018;16078
11.10.2018;15722
12.10.2018;15255
15.10.2018;15705
16.10.2018;15596
17.10.2018;15779
18.10.2018;15773
19.10.2018;15469
22.10.2018;15688
23.10.2018;16233
24.10.2018;15754
25.10.2018;15490
26.10.2018;15661
29.10.2018;15594
30.10.2018;15209
31.10.2018;15316
01.11.2018;15697
02.11.2018;16002
05.11.2018;16820
06.11.2018;16532
07.11.2018;16546
08.11.2018;16703
09.11.2018;16712
12.11.2018;16216
13.11.2018;16108
14.11.2018;16389
15.11.2018;16277
16.11.2018;16572
19.11.2018;16415
20.11.2018;16399
21.11.2018;16088
22.11.2018;16300
23.11.2018;16300
26.11.2018;16147
27.11.2018;16431
28.11.2018;16454
29.11.2018;16667
30.11.2018;16501
03.12.2018;16684
04.12.2018;17225
05.12.2018;17080
06.12.2018;16918
07.12.2018;16450
10.12.2018;16237
11.12.2018;16075
12.12.2018;16194
13.12.2018;16385
14.12.2018;16593
17.12.2018;16287
18.12.2018;16054
19.12.2018;15808
20.12.2018;15650
21.12.2018;15308
24.12.2018;15308
25.12.2018;14974
26.12.2018;15055
27.12.2018;15230
28.12.2018;15100
31.12.2018;15100
01.01.2019;15100
02.01.2019;15100
03.01.2019;15100
04.01.2019;14343
07.01.2019;14803
08.01.2019;15045
09.01.2019;15096
10.01.2019;15432
11.01.2019;15614
14.01.2019;15614
15.01.2019;15482
16.01.2019;15864
17.01.2019;16059
18.01.2019;16090
21.01.2019;16389
22.01.2019;16441
23.01.2019;16255
24.01.2019;16301
25.01.2019;16361
28.01.2019;16545
29.01.2019;16483
30.01.2019;16613
31.01.2019;16585
01.02.2019;16937
04.02.2019;17106
05.02.2019;17192
06.02.2019;17222
07.02.2019;17219
08.02.2019;17133
11.02.2019;17133
12.02.2019;17445
13.02.2019;17525
14.02.2019;17770
15.02.2019;17673
18.02.2019;17315
19.02.2019;17644
20.02.2019;17564
21.02.2019;17660
22.02.2019;17728
25.02.2019;17913
26.02.2019;18473
27.02.2019;18325
28.02.2019;18348
01.03.2019;18482
04.03.2019;18798
05.03.2019;19001
06.03.2019;18959
07.03.2019;18925
08.03.2019;18542
11.03.2019;18034
12.03.2019;18401
13.03.2019;18428
14.03.2019;18423
15.03.2019;18549
18.03.2019;18670
19.03.2019;19111
20.03.2019;19140
21.03.2019;19140
22.03.2019;18954
25.03.2019;18767
26.03.2019;18509
27.03.2019;18640
28.03.2019;18842
29.03.2019;18991
01.04.2019;19488
02.04.2019;19840
03.04.2019;19894
04.04.2019;20051
05.04.2019;20275
08.04.2019;20236
09.04.2019;20427
10.04.2019;20614
11.04.2019;20705
12.04.2019;20487
15.04.2019;20571
16.04.2019;20500
17.04.2019;20785
18.04.2019;20775
19.04.2019;20627
22.04.2019;20615
23.04.2019;20594
24.04.2019;20648
25.04.2019;20696
26.04.2019;20364
29.04.2019;20364
30.04.2019;20364
01.05.2019;20364
02.05.2019;20364
03.05.2019;20364
06.05.2019;20364
07.05.2019;18680
08.05.2019;18595
09.05.2019;18352
10.05.2019;18060
13.05.2019;18204
14.05.2019;18018
15.05.2019;17805
16.05.2019;18108
17.05.2019;18229
20.05.2019;17905
21.05.2019;17589
22.05.2019;17680
23.05.2019;17584
24.05.2019;17192
27.05.2019;17231
28.05.2019;17287
29.05.2019;17392
30.05.2019;17419
31.05.2019;17403
03.06.2019;17176
04.06.2019;17208
05.06.2019;17130
06.06.2019;17060
07.06.2019;17002
10.06.2019;17051
11.06.2019;17285
12.06.2019;17760
13.06.2019;17590
14.06.2019;17577
17.06.2019;17531
18.06.2019;17499
19.06.2019;17660
20.06.2019;17911
21.06.2019;18311
24.06.2019;18213
25.06.2019;18207
26.06.2019;17977
27.06.2019;18117
28.06.2019;18356
01.07.2019;18449
02.07.2019;18560
03.07.2019;18862
04.07.2019;18709
05.07.2019;18718
08.07.2019;18908
09.07.2019;18569
10.07.2019;18476
11.07.2019;18414
12.07.2019;18464
15.07.2019;18464
16.07.2019;18543
17.07.2019;18555
18.07.2019;18425
19.07.2019;18240
22.07.2019;18410
23.07.2019;18321
24.07.2019;18461
25.07.2019;18538
26.07.2019;18686
